Judul,Tanggal,Link
"Peduli Pelaku Ekonomi Kreatif, Mahasiswa UNAIR Sabet Peringkat II Lomba Inovasi",22/03/2022,https://www.unair.ac.id/peduli-pelaku-ekonomi-kreatif-mahasiswa-unair-sabet-peringkat-ii-lomba-inovasi/
Kiat Peraih Medali Emas PIMNAS 34 dalam Siasati PKM-K Hingga Lolos Pendanaan,20/03/2022,https://www.unair.ac.id/kiat-peraih-medali-emas-pimnas-34-dalam-siasati-pkm-k-hingga-lolos-pendanaan/
"Konsisten Berlatih, Ksatria Airlangga Telah Raih 6 Juara Olahraga Panahan",25/07/2022,https://www.unair.ac.id/konsisten-berlatih-ksatria-airlangga-telah-raih-6-juara-olahraga-panahan/
"Bangga, Ksatria Airlangga Raih 2 Juara di Ajang Fly Navy International Archery Open 2022",25/07/2022,https://www.unair.ac.id/ksatria-airlangga-raih-2-juara-di-ajang-fly-navy-international-archery-open-2022/
Mahasiswa UNAIR Raih Medali Emas dalam Ajang Porprov Jatim Kategori Girl Hockey Indoor,23/07/2022,https://www.unair.ac.id/mahasiswa-unair-raih-medali-emas-dalam-ajang-porprov-jatim-kategori-girl-hockey-indoor/
Mahasiswa UNAIR Raih Medali Perak dalam Ajang Porprov Jatim 2022,22/07/2022,https://www.unair.ac.id/mahasiswa-unair-raih-medali-perak-dalam-ajang-porprov-jatim-2022/
Mahasiswa FPsi UNAIR Raih Medali Perak Cabor Woodball di Porprov VII Jatim 2022,20/07/2022,https://www.unair.ac.id/mahasiswa-fpsi-unair-raih-medali-perak-cabor-woodball-di-porprov-vii-jatim-2022/
Mahasiswa FEB UNAIR Raih Best Paper pada lomba Call For Paper EJAVEC  Forum 2022,20/07/2022,https://www.unair.ac.id/mahasiswa-feb-unair-raih-best-paper-pada-lomba-call-for-paper-ejavec-forum-2022/
"Usung Smartwatch Cegah Kekerasan Seksual, Tim UNAIR Raih Silver Medal LKTI FAPERTA FAIR 2022",19/07/2022,https://www.unair.ac.id/usung-smartwatch-cegah-kekerasan-seksual-tim-unair-raih-silver-medal-lkti-faperta-fair-2022/
Mahasiswa FKH UNAIR Borong Emas dari Kejuaraan Internasional Panahan,19/07/2022,https://www.unair.ac.id/mahasiswa-fkh-unair-borong-emas-dari-kejuaraan-internasional-panahan/
UKM Wanala UNAIR Sabet Medali Emas dan Perak pada Kejuaraan PORPROV Jawa Timur VII,18/07/2022,https://www.unair.ac.id/ukm-wanala-unair-sabet-medali-emas-dan-perak-pada-kejuaraan-porprov-jawa-timur-vii/
Hebat! 130 Mahasiswa UNAIR Lolos Beasiswa Bank Indonesia,15/07/2022,https://www.unair.ac.id/hebat-130-mahasiswa-unair-lolos-beasiswa-bank-indonesia/
Membanggakan! Mahasiswa FKH UNAIR Sabet Medali Perak pada PORPROV Jawa Timur VII,13/07/2022,https://www.unair.ac.id/membanggakan-mahasiswa-fkh-unair-sabet-medali-perak-pada-porprov-jawa-timur-vii/
"Dapat Dukungan Penuh dari UNAIR, Tim KDMI Maju Nasional",12/07/2022,https://www.unair.ac.id/dapat-dukungan-penuh-dari-unair-tim-kdmi-maju-nasional/
Mahasiswa UNAIR Wakili Jatim ke Ajang Lomba Debat Nasional,12/07/2022,https://www.unair.ac.id/mahasiswa-unair-wakili-jatim-ke-ajang-lomba-debat-nasional/
"Raih Banyak HKI di Bidang Stem Cell, Dosen Vokasi UNAIR Raih Rekor MURI",08/07/2022,https://www.unair.ac.id/raih-banyak-hki-di-bidang-stem-cell-dosen-vokasi-unair-raih-rekor-muri/
"Gagas Platform Kesehatan, Tim UNAIR Raih Juara 3 National Business Model Canvas Competition",05/07/2022,https://www.unair.ac.id/gagas-platform-kesehatan-tim-unair-raih-juara-3-national-business-model-canvas-competition/
"Sempat Tersisih, Mahasiswa FEB UNAIR Sabet Juara 3 Trading Competition Kontan",01/07/2022,https://www.unair.ac.id/sempat-tersisih-mahasiswa-feb-unair-sabet-juara-3-trading-competition-kontan/
"Bikin Bangga, Mahasiswa UNAIR Raih Juara 2 Accounting Competition Tingkat Nasional",24/06/2022,https://www.unair.ac.id/bikin-bangga-mahasiswa-unair-raih-juara-2-accounting-competition-tingkat-nasional/
"Gagas Wisata Grojogan Londo, Tim UNAIR Masuk 3 Besar Lomba Inovasi dan Pemberdayaan Desa Nasional",20/06/2022,https://www.unair.ac.id/gagas-wisata-grojogan-londo-tim-unair-masuk-3-besar-lomba-inovasi-dan-pemberdayaan-desa-nasional/
Mahasiswa UNAIR Raih Silver Medal di International Invention Competition For Young Moslem Scientist (IICYMS) 2022,20/06/2022,https://www.unair.ac.id/mahasiswa-unair-raih-silver-medal-di-international-invention-competition-for-young-moslem-scientist-iicyms-2022/
Mahasiswa Prodi Matematika UNAIR Raih Juara 2 Sociopreneur PLN,19/06/2022,https://www.unair.ac.id/mahasiswa-prodi-matematika-unair-raih-juara-2-sociopreneur-pln/
Mahasiswa FEB UNAIR Borong 7 Juara pada Temilreg FoSSEI JATIM 2022,15/06/2022,https://www.unair.ac.id/mahasiswa-feb-unair-borong-7-juara-pada-temilreg-fossei-jatim-2022/
"Raih Juara 1 Mawapres, Genada Siap Wakili UNAIR di Ajang Pilmapres Nasional",13/06/2022,https://www.unair.ac.id/raih-juara-1-mawapres-genada-siap-wakili-unair-di-ajang-pilmapres-nasional/
Tim MEDICATION UNAIR Raih Medali Perunggu dalam International Science Project Competition,08/06/2022,https://www.unair.ac.id/tim-medication-unair-raih-medali-perunggu-dalam-international-science-project-competition/
"Wakili Indonesia, Alumnus UNAIR Raih Dua Medali di Sea Games 2021",08/06/2022,https://www.unair.ac.id/wakili-indonesia-alumnus-unair-raih-dua-medali-di-sea-games-2021/
